Iteration,ACS_time,ACS_dist,Elitist_time,Elitist_dist,MaxMin_time,MaxMin_dist
1,0.005651950836181641,2826.1071736997224,0.008141040802001953,2870.623783635593,0.005482196807861328,2826.1071736997224
1,0.005509138107299805,2258.396521060101,0.005754947662353516,2258.396521060101,0.005434989929199219,2258.396521060101
1,0.005498170852661133,2352.228673662972,0.005577802658081055,2317.033407533729,0.005448818206787109,2288.491530882096
1,0.005237102508544922,2185.0147742464405,0.005794048309326172,2185.0147742464405,0.005524873733520508,2185.0147742464405
1,0.0056188106536865234,2252.6854096327097,0.0051860809326171875,2252.6854096327097,0.005571842193603516,2252.6854096327097
1,0.005174160003662109,2002.3459389672025,0.0054399967193603516,2002.3459389672023,0.005027055740356445,2002.3459389672025
1,0.0051958560943603516,2824.1170463371996,0.005172014236450195,2816.7079691124077,0.005346059799194336,2816.7079691124077
1,0.0051538944244384766,2522.8703419418475,0.005159854888916016,2522.8703419418475,0.005391836166381836,2522.8703419418475
1,0.0050280094146728516,1983.8391634771094,0.008510828018188477,1983.8391634771094,0.005096912384033203,1983.8391634771094
1,0.005176067352294922,2825.5822144630565,0.005279064178466797,2825.5822144630565,0.005257844924926758,2825.582214463056
1,0.00496983528137207,2506.121210341991,0.005172014236450195,2506.121210341991,0.0051000118255615234,2506.121210341991
1,0.0049571990966796875,2460.793263295561,0.0049593448638916016,2460.793263295561,0.004946231842041016,2460.7932632955603
1,0.004953145980834961,2459.982934108606,0.005014896392822266,2494.4185821683595,0.004968166351318359,2459.982934108606
1,0.004962921142578125,2359.0778787886866,0.005002021789550781,2359.0778787886866,0.004904985427856445,2359.0778787886866
1,0.005347013473510742,2399.5176600252053,0.0051310062408447266,2399.5176600252053,0.005248069763183594,2399.517660025205
1,0.0051250457763671875,1976.6044129542615,0.005016803741455078,1976.6044129542613,0.00486302375793457,1976.6044129542613
1,0.005117177963256836,2543.516662576266,0.005148172378540039,2593.934346092811,0.004973173141479492,2543.5166625762654
1,0.004845142364501953,1752.1734377069806,0.004869937896728516,1752.1734377069806,0.004790067672729492,1752.1734377069806
1,0.005040168762207031,2431.5284955997513,0.005096912384033203,2431.5284955997513,0.0049228668212890625,2431.5284955997513
1,0.0050868988037109375,2179.7000752534477,0.0051271915435791016,2182.1542885006083,0.005072116851806641,2182.1542885006083
2,0.020353078842163086,3894.755074179572,0.019649028778076172,3799.4508633697933,0.01978898048400879,3752.0501201767456
2,0.020700931549072266,3112.5255167911323,0.020410776138305664,3485.6567724737743,0.020447969436645508,3042.2502211745837
2,0.020847082138061523,3624.8069725783735,0.019665956497192383,3537.1765894062246,0.01996588706970215,3405.0300048663066
2,0.020763874053955078,3826.3379180479424,0.019819974899291992,3814.673288851883,0.020178794860839844,3352.4922775349132
2,0.02093195915222168,3533.7262458123387,0.019832849502563477,3459.1808091284256,0.02006077766418457,3283.4607930979896
2,0.02010202407836914,3464.280539168687,0.019972801208496094,3496.130956676127,0.019927024841308594,3389.687370938096
2,0.020342111587524414,3115.111613594355,0.019795894622802734,3264.634549897002,0.0198671817779541,3038.7360696219157
2,0.019750118255615234,3437.3186275449475,0.019819974899291992,3559.2029647597674,0.020038843154907227,3232.393319879296
2,0.01974797248840332,2866.1389618048893,0.019755125045776367,2939.1938145714576,0.019503116607666016,2718.785800018498
2,0.01947784423828125,3501.4394401735653,0.019552946090698242,3565.6827046418693,0.019551992416381836,3233.8976411174212
2,0.019526004791259766,2629.717067368102,0.019923925399780273,2718.733930638119,0.01960897445678711,2629.717067368102
2,0.019227981567382812,3099.61634142009,0.019300222396850586,3005.6055509319244,0.019383668899536133,2884.1827619742335
2,0.03691601753234863,3617.9120062995066,0.022555828094482422,3505.263341956963,0.021939992904663086,3454.7797523191675
2,0.021049976348876953,3463.3141153284487,0.019831180572509766,3395.7998359353037,0.01962113380432129,3135.8138908711553
2,0.019999027252197266,3107.9835434500633,0.019648075103759766,3075.0879141752275,0.01963496208190918,2970.027249816674
2,0.019704103469848633,3402.350676001821,0.019626855850219727,3350.847026937493,0.019917964935302734,3121.5144304899577
2,0.020058870315551758,2914.1890197757352,0.019984960556030273,2746.6203052215737,0.01971578598022461,2705.7551490412575
2,0.01976799964904785,3516.077002341557,0.019768714904785156,3668.2864835717355,0.019717931747436523,3354.069065386557
2,0.020874977111816406,3431.7538858582734,0.01973724365234375,3402.843905753419,0.01981806755065918,3107.0234386939915
2,0.019750118255615234,3058.826494491526,0.019855260848999023,3109.1017762184465,0.02029585838317871,2846.602496177302
3,0.046465158462524414,4162.956083555584,0.04546213150024414,4322.910635485446,0.04607105255126953,3784.4082741153084
3,0.04552197456359863,4728.2565787067015,0.045015811920166016,4642.269812157599,0.04555201530456543,4082.2139242721705
